SecOrder,PAR,Area,kGE,Arrival_ns,Required_ns,Setup_ns,Slack_ns,Crit_ns,Fmax_GHz,CyclesPerBlock,Th_Gbps,Th_per_kGE_Gbps_per_kGE,ThPerArea,TimingRpt,AreaRpt,Model_BaseCycles,Model_Rounds,Model_XORperBlock,Model_ge_um2_per_GE
3,4,34128.000491,23.70000034097222,0.99,0.99,0.01,0.0,0.74,1.0,49,2.6122448979591835,0.11022130212560259,110.22130212560259,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,5,38032.92028,26.411750194444444,0.99,0.99,0.01,0.0,0.74,1.0,49,2.6122448979591835,0.09890464958693475,98.90464958693475,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,6,40718.160253,28.276500175694444,0.97,0.97,0.03,0.0,0.74,1.0,41,3.1219512195121952,0.11040797836062195,110.40797836062195,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,7,42065.640254,29.21225017638889,0.96,0.97,0.03,0.01,0.74,1.0101010101010102,41,3.1534860803153486,0.10795081040570395,107.95081040570395,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,8,38976.840471,27.067250327083336,0.99,0.99,0.01,0.0,0.74,1.0,33,3.878787878787879,0.1433018807568638,143.3018807568638,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,9,43710.480315,30.35450021875,0.97,0.97,0.03,0.0,0.74,1.0,33,3.878787878787879,0.1277829597204815,127.78295972048151,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,10,45035.280291,31.274500202083335,0.99,0.99,0.01,0.0,0.74,1.0,33,3.878787878787879,0.12402397652159747,124.02397652159746,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,11,46263.960282,32.127750195833336,0.97,0.97,0.03,0.0,0.74,1.0,33,3.878787878787879,0.12073014310510048,120.73014310510048,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,12,47494.080275,32.98200019097222,0.99,0.99,0.01,0.0,0.74,1.0,33,3.878787878787879,0.11760317313470801,117.60317313470802,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,13,47210.760547,32.78525037986111,0.97,0.97,0.03,0.0,0.74,1.0,33,3.878787878787879,0.11830892959019429,118.3089295901943,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,14,48462.12063,33.6542504375,0.97,0.97,0.03,0.0,0.74,1.0,33,3.878787878787879,0.11525402670878841,115.25402670878842,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,15,49019.040384,34.041000266666664,0.99,1.0,0.0,0.0,0.74,1.0,33,3.878787878787879,0.11394459176882743,113.94459176882744,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,16,48610.080657,33.75700045625,0.97,0.97,0.03,0.0,0.74,1.0,25,5.12,0.15167224370647686,151.67224370647685,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,17,51565.320633,35.80925043958334,0.97,0.98,0.02,0.01,0.74,1.0101010101010102,25,,0.1444240554669747,144.4240554669747,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,18,51060.240599,35.45850041597222,0.98,0.98,0.02,0.0,0.74,1.0,25,,0.1443941492148863,144.3941492148863,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,19,51054.480597,35.454500414583336,0.98,0.98,0.02,0.0,1.0,1.0,25,,0.1444104398632004,144.4104398632004,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,20,51101.280598,35.48700041527778,0.98,0.98,0.02,0.0,1.0,1.0,25,,0.14427818468973078,144.27818468973078,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,21,51327.360909,35.64400063125,0.98,0.98,0.02,0.0,1.0,1.0,25,,0.14364268626769033,143.64268626769032,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
